Artist,Listeners,Daily Trend,Peak,PkListeners
New Order,5999430,"-13,176",1257,"6,523,858"
Shinedown,5998829,"-4,537",1552,"6,192,670"
FrÃ©dÃ©ric Chopin,5998524,"15,834",1249,"6,604,866"
Los AutÃ©nticos Decadentes,5996276,"1,226",1292,"6,390,639"
Sheck Wes,5991735,"6,199",1286,"6,537,153"
Alle Farben,5984512,"-1,480",1363,"6,910,068"
Westside Gunn,5984415,"-54,631",1310,"7,172,261"
Chris Young,5983454,"-35,943",1388,"6,557,043"
CRO,5980932,"14,738",1567,"6,167,724"
Pesado,5978102,"-38,642",1547,"6,326,008"
Bruno Martini,5977863,"4,219",1643,"6,004,945"
Chase & Status,5976556,"18,207",1620,"6,126,260"
La Roux,5974833,"30,974",1655,"5,974,833"
Kevin Gates,5973041,"-4,753",1347,"6,599,566"
Akhil,5965770,"-1,726",1079,"8,166,073"
Conor Maynard,5962639,"-12,089",1391,"6,804,973"
ThxSoMch,5958414,"30,674",783,"9,386,209"
Carly Simon,5946527,"-38,546",1483,"6,304,383"
DIVINE,5942055,"-56,840",1360,"6,899,750"
Mc Kevin,5937708,"19,787",1680,"5,937,708"
gnash,5936780,"-58,427",1507,"6,319,126"
DDG,5936525,"-2,638",1276,"7,270,211"
The Emotions,5930566,"1,435",1647,"5,938,617"
Ski Aggu,5923929,"10,708",1673,"5,923,929"
Chefin,5920459,"18,646",1480,"5,920,459"
Sam C.S.,5913782,"55,836",1686,"5,913,782"
11:11 Music Group,5906998,"-19,356",955,"8,141,605"
Simply Red,5894467,"-3,046",1557,"6,037,555"
Stevie Nicks,5891672,"-37,372",1461,"6,078,955"
Billy Currington,5890547,"17,537",1531,"6,254,418"
Lucky Daye,5888435,"2,088",1032,"7,754,167"
IU,5887646,"12,366",901,"8,805,240"
Rainbow Kitten Surprise,5883763,"-20,501",1093,"7,503,419"
Air Supply,5882855,"15,101",1640,"5,882,855"
Anvita Dutt,5873856,"14,454",1245,"6,689,226"
Mc Davi,5872226,"12,184",1420,"6,074,336"
Alejo,5869706,"97,747",1183,"6,997,702"
Boza,5855587,"-13,865",1462,"6,485,199"
AnahÃ­,5852075,"18,599",1241,"6,599,848"
Kaskade,5849006,"-13,322",1305,"6,562,786"
The Bangles,5843492,"-1,527",1629,"6,024,943"
Grupo Niche,5842270,"-2,944",1640,"6,013,120"
Phantogram,5839773,388,1252,"6,704,724"
The Pointer Sisters,5838959,"-6,953",1567,"5,992,225"
RADWIMPS,5836676,"-5,231",1315,"6,704,898"
Lennon Stella,5828897,"-17,581",1256,"6,542,984"
Duelo,5827392,"12,149",1636,"5,956,645"
Pat Benatar,5825536,"5,369",1673,"5,825,696"
Arizona Zervas,5823590,"-4,442",1247,"6,576,145"
Alvaro Diaz,5823414,"7,174",1498,"5,823,414"
Jet,5823302,"-11,781",1248,"7,356,943"
Ana Mena,5820910,"-10,217",1461,"6,177,733"
Suzanne D'Mello,5819657,"11,106",1266,"7,127,071"
JubÃ«l,5819473,"-23,831",1336,"6,965,832"
Cat Burns,5817846,"-31,278",1035,"7,835,224"
Frankie Ruiz,5817729,"-9,861",1671,"5,925,252"
Gabby Barrett,5817342,"-3,890",1534,"6,271,572"
